Date,QLD,QQQ,SPY
2015-11-20,5.036832332611084,105.90316772460938,175.4165802001953
2015-11-23,5.0097880363464355,105.59788513183594,175.2154083251953
2015-11-24,5.003643989562988,105.50537872314453,175.45005798339844
2015-11-25,5.008559226989746,105.59788513183594,175.42489624023438
2015-11-27,5.024538516998291,105.74588012695312,175.62608337402344
2015-11-30,4.997496128082275,105.47762298583984,174.89695739746094
2015-12-01,5.09768009185791,106.5322036743164,176.564697265625
2015-12-02,5.037447929382324,105.87539672851562,174.76284790039062
2015-12-03,4.864123344421387,104.08073425292969,172.31568908691406
2015-12-04,5.0884599685668945,106.51370239257812,175.67630004882812
2015-12-07,5.044822692871094,106.03265380859375,174.61196899414062
2015-12-08,5.046667575836182,106.04190826416016,173.4386749267578
2015-12-09,4.892395496368408,104.43228149414062,172.0894012451172
2015-12-10,4.934804439544678,104.90408325195312,172.5335693359375
2015-12-11,4.709852695465088,102.48961639404297,169.1896514892578
2015-12-14,4.782993316650391,103.26669311523438,170.04449462890625
2015-12-15,4.838309288024902,103.8957290649414,171.82955932617188
2015-12-16,4.974140644073486,105.44062042236328,174.3438262939453
2015-12-17,4.836465358734131,103.90496826171875,171.68710327148438
2015-12-18,4.6569952964782715,101.91183471679688,168.6284637451172
2015-12-21,4.7528767585754395,103.04389190673828,170.01954650878906
2015-12-22,4.814743518829346,103.72124481201172,171.5623321533203
2015-12-23,4.887311935424805,104.49142456054688,173.6868896484375
2015-12-24,4.883624076843262,104.47284698486328,173.40016174316406
2015-12-28,4.874399662017822,104.41720581054688,173.00396728515625
2015-12-29,5.027529239654541,106.05957794189453,174.8502655029297
2015-12-30,4.940817356109619,105.10380554199219,173.61097717285156
2015-12-31,4.8190484046936035,103.79547882080078,171.874267578125
2016-01-04,4.617947578430176,101.60560607910156,169.47158813476562
2016-01-05,4.593348979949951,101.42930603027344,169.75819396972656
2016-01-06,4.510324478149414,100.45504760742188,167.61685180664062
2016-01-07,4.229275226593018,97.30943298339844,163.59544372558594
2016-01-08,4.155475616455078,96.51143646240234,161.7997283935547
2016-01-11,4.184995651245117,96.808349609375,161.9599151611328
2016-01-12,4.282164573669434,97.9311294555664,163.26663208007812
2016-01-13,3.9838945865631104,94.55352783203125,159.1947021484375
2016-01-14,4.15117073059082,96.56709289550781,161.80810546875
2016-01-15,3.894106388092041,93.5699691772461,158.33477783203125
2016-01-19,3.9107110500335693,93.77410888671875,158.5455322265625
2016-01-20,3.8885715007781982,93.4864501953125,156.5137176513672
2016-01-21,3.897796869277954,93.57923126220703,157.3905487060547
2016-01-22,4.119807720184326,96.28874206542969,160.6194305419922
2016-01-25,3.9998841285705566,94.8597640991211,158.19146728515625
2016-01-26,4.070608615875244,95.71343231201172,160.34963989257812
2016-01-27,3.866431951522827,93.32872772216797,158.60447692871094
2016-01-28,3.973439931869507,94.64634704589844,159.43072509765625
2016-01-29,4.140101909637451,96.62279510498047,163.3172607421875
2016-02-01,4.1567063331604,96.88260650634766,163.25819396972656
2016-02-02,3.980820417404175,94.78555297851562,160.31591796875
2016-02-03,3.944535970687866,94.33085632324219,161.2770538330078
2016-02-04,3.9433062076568604,94.32156372070312,161.52996826171875
2016-02-05,3.666560411453247,91.04608154296875,158.45272827148438
2016-02-08,3.555248260498047,89.65421295166016,156.31983947753906
2016-02-09,3.5312633514404297,89.37582397460938,156.32827758789062
2016-02-10,3.5613973140716553,89.71916198730469,156.19338989257812
2016-02-11,3.554633617401123,89.58924102783203,154.16165161132812
2016-02-12,3.6567208766937256,90.95323944091797,157.3399200439453
2016-02-16,3.8160030841827393,93.00394439697266,159.99559020996094
2016-02-17,3.993734836578369,95.11030578613281,162.60906982421875
2016-02-18,3.9051764011383057,94.0246353149414,161.9430389404297
2016-02-19,3.9279305934906006,94.3030014038086,161.86715698242188
2016-02-22,4.054004192352295,95.83406066894531,164.2108612060547
2016-02-23,3.920551300048828,94.2566146850586,162.1369171142578
2016-02-24,3.9955790042877197,95.15669250488281,162.87889099121094
2016-02-25,4.071837902069092,96.09386444091797,164.8516082763672
2016-02-26,4.062612056732178,95.97325134277344,164.4722442626953
2016-02-29,3.990044593811035,95.11030578613281,163.1823272705078
2016-03-01,4.244035720825195,98.16311645507812,167.018310546875
2016-03-02,4.2483391761779785,98.20025634765625,167.76853942871094
2016-03-03,4.233580112457275,98.01461791992188,168.42620849609375
2016-03-04,4.237270832061768,98.05176544189453,168.97410583496094
2016-03-07,4.186225891113281,97.4486083984375,169.1090087890625
2016-03-08,4.113041877746582,96.64132690429688,167.26275634765625
2016-03-09,4.1671600341796875,97.26301574707031,168.08897399902344
2016-03-10,4.1567063331604,97.11455535888672,168.2238311767578
2016-03-11,4.298768043518066,98.81263732910156,170.9384765625
2016-03-14,4.3116841316223145,98.97966766357422,170.71926879882812
2016-03-15,4.309839248657227,98.94257354736328,170.44105529785156
2016-03-16,4.386096477508545,99.82405090332031,171.42745971679688
2016-03-17,4.38117790222168,99.76838684082031,172.51499938964844
2016-03-18,4.397781848907471,99.92473602294922,173.19293212890625
2016-03-21,4.42976188659668,100.31562042236328,173.43870544433594
2016-03-22,4.454360485076904,100.62271881103516,173.345458984375
